Nom,Marque,Description,Contenance,Prix_Original,Prix_Promo,Reduction,Statut
Alvityl Energie gummies,ALVITYL,Energie physique et mentale - 8 vitamines & guarana - Adulte,50 gommes,"11,99 €","9,99 €",-2€,En stock
Alvityl vitalité gummies,ALVITYL,10 Vitamines + Minéraux - Dès 4 ans,60 gommes,"9,99 €","7,99 €",-2€,Bientôt de retour
Arkopharma Immunité boostée gummies,ARKOPHARMA,Concentré de vitamine D3 végétale - Dès 3 ans,60 gommes,"14,99 €",,,En stock
Azinc Gummies 9 vitamines,ARKOPHARMA,Vitamines - Adulte,60 gommes,"12,49 €",,,En stock
Azinc Junior gummies,ARKOPHARMA,Défenses immunitaires, soutien de la croissance - Dès 3 ans,60 gommes,"10,99 €",,,Indisponible
Berocca Energie gummies,BEROCCA,Source de vitamines - Dès 7 ans,60 gommes,"11,99 €",,,En stock
Biocyte Multivit gummies,BIOCYTE,Contribue à renforcer l'organisme - Dès 12 ans,60 gommes,"11,99 €",,,En stock
Bion 3 Energie gummies,BION 3,Energie & équilibre intestinal - Adulte,60 gommes,"21,99 €",,,En stock
Granions Pat Patrouille Multivitamines gummies,GRANIONS,Vitamines A, C, E, D, groupe B - Dès 3 ans,60 gommes,"8,69 €",,,En stock
Granions Shilajit 800 mg gummies,GRANIONS,Energie, libido et mémoire - Adulte,60 gommes,"18,99 €",,,Indisponible
Granions gummies Croissance Pat Patrouille,GRANIONS,Vitamine D3 - Croissance - Dès 3 ans,60 gommes,"8,69 €",,,En stock
Guigoz Pro kids Multivitamines gummies,GUIGOZ,Croissance et développement normaux - Dès 3 ans,60 gommes,"11,79 €",,,En stock
Juvamine Boost Ginseng de Sibérie et Taurine comprimés effervescents,JUVAMINE,Arôme bubble gum - Sans sucres - Adulte,30 comprimés,"7,99 €",,,En stock
Lehning Pâte suisse Vitamine D3,LEHNING,Système immunitaire - Dès 6 ans,40 gommes,"6,99 €",,10 achetés -10%,En stock
Lehning Pâte suisse vitamine C Gommes,LEHNING,Réduit la fatigue - Argousier et Hibiscus - Dès 6 ans,40 gommes,"6,99 €",,10 achetés -10%,En stock
Mag 2 Boost gummies,COOPER,Energie, nervosité - Adulte,45 gommes,"12,99 €",,,En stock
Mag 2 Kids Croissance et immunité gummies,COOPER,Magnésium, Vitamine D , Vitamine B6 - Dès 4 ans,30 gommes,"7,59 €",,,En stock
Moller's gummies Omega 3,MOLLER'S,Os, immunité, cerveau, vision - Dès 4 ans,36 gommes,"10,99 €",,,En stock
Nat et Form Junior immunité gummies,NAT ET FORM,Gelée royale, propolis et miel - Dès 4 ans,60 gommes,"5,99 €",,,En stock
Nat et Form Junior+ 9 vitamines gummies,NAT ET FORM,Gummies Orange, citron, framboise - Multivitamines - Dès 4 ans,60 gommes,"5,99 €",,,En stock
Pediakid Immunité gummies,PEDIAKID,Vitamines, gelée royale et propolis - Dès 3 ans,60 gommes,"9,49 €",,, En stock - Fabriqué en France
Pediakid Omega 3 gummies,PEDIAKID,Omega 3, vitamines et zinc pour les enfants - Dès 3 ans,60 gommes,"9,49 €",,, En stock - Fabriqué en France
Pediakid Vitamine C gummies,PEDIAKID,Baies d'acérola pour enfants - Dès 3 ans,60 gommes,"9,49 €",,,En stock
Pediakid Vitamine D3 gummies,PEDIAKID,Vitamine D d'origine naturelle - Dès 3 ans,60 gommes,"9,49 €",,, En stock - Fabriqué en France
Pediakid gummies multivitaminées pour enfant,PEDIAKID,Vitamines extraites de 22 fruits et légumes - Dès 3 ans,60 gommes,"9,49 €",,, En stock - Fabriqué en France
Pileje Omegabiane Enfant gummies,PILEJE,Omega 3 et vitamines pour enfants - Dès 3 ans,27 gommes,"13,99 €",,,En stock
Pranarom Aromaforce junior Immunité gummies,PRANARÔM,Soutien des défenses de l'organisme - Dès 6 ans,60 gommes,"6,29 €",,,En stock
UPSA Nourished énergie gummies,UPSA,Booste l'énergie physique et mentale - Adulte,30 gommes,"19,99 €","14,99 €",-25%,En stock
UPSA Vitalité Acérola vitamine C Kids Gummies,UPSA,Fatigue passagère et défenses immunitaires - Dès 3 ans,60 gommes,"7,69 €",,,En stock
Vitamin'22 Energy boost Multivitaminées gummies,INELDEA,Tonus et réduction de la fatigue - 11 vitamines et minéraux - Adulte,60 gommes,"11,99 €",,,En stock
Vitascorbol Energie gummies,COOPER,Energie physique et fonction cognitive - Adulte,50 gommes,"13,99 €",,,En stock
Vitascorbol Vitamine C 1000 mg gummies,COOPER,Vitalité et défenses immunitaires - Adulte,30 gommes,"7,99 €",,,En stock
Vitavea Acérola 1000 gummies,VITAVEA,Tonus et vitalité - Dès 3 ans,30 gommes,"8,99 €",,,En stock
Vitavea Force G Power Max gummies,FORCE G,Coup de boost immédiat - Adultes,30 gommes,"11,69 €","10,69 €",-1€,En stock
Vitavea Multivitamines Junior gummies,VITAVEA,Croissance - Défenses naturelles - Dès 3 ans,30 gommes,"7,99 €",,,En stock
Vitavea Vitamine D 1000 UI gummies,VITAVEA,Défenses naturelles, tonus musculaire, capital osseux - Dès 6 ans,30 gommes,"9,99 €",,,En stock
Vitavea multivitamines adulte gummies,VITAVEA,Energie, équilibre nerveux et défenses naturelles - Adulte,30 gommes,"7,99 €",,,
